ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice
000803-00-0001,C14,C21,C06,C15,C04,C17,C22,C07,,,,,,,,,,,,,,,
000803-00-0003,C12,C14,,,,,,,,,,,,,,,,,,,,,
000803-00-0005,C01,C10,C02,C03,C12,C21,C15,C17,C19,,,,,,,,,,,,,,
000803-00-0007,C10,C03,C19,C01,C12,C15,C20,,,,,,,,,,,,,,,,
000803-00-0010,C15,C14,C06,C11,C01,C04,,,,,,,,,,,,,,,,,
000803-00-0011,C03,C06,C08,C22,C21,C19,C14,C12,C05,,,,,,,,,,,,,,
000803-00-0013,C03,C19,C15,C01,C14,C10,C06,C12,,,,,,,,,,,,,,,
000803-00-0015,C14,C06,C02,C08,C15,C10,,,,,,,,,,,,,,,,,
000803-00-0017,C14,C06,C22,C10,C18,C17,C16,C13,C12,C15,C19,C20,C23,C01,C02,C03,C04,C07,C08,C09,,,
000803-00-0019,C06,C03,,,,,,,,,,,,,,,,,,,,,
000803-00-0020,C03,,,,,,,,,,,,,,,,,,,,,,
000803-00-0023,C15,C19,C21,C03,C12,C20,C10,,,,,,,,,,,,,,,,
000803-00-0024,C14,C22,C06,C18,,,,,,,,,,,,,,,,,,,
000803-00-0026,C19,C01,C06,C15,C03,C23,,,,,,,,,,,,,,,,,
000803-00-0028,C16,C12,C03,C20,C21,C01,C02,C10,C14,C22,C06,C08,C11,,,,,,,,,,
000803-00-0032,C21,C02,C14,C08,C03,C15,C19,C01,C12,C10,C17,,,,,,,,,,,,
000803-00-0034,C19,C03,C06,C17,,,,,,,,,,,,,,,,,,,
000803-00-0035,C21,C02,C14,C08,C15,C19,C10,,,,,,,,,,,,,,,,
000803-00-0038,C02,C03,C04,C14,C19,,,,,,,,,,,,,,,,,,
000803-00-0039,C02,C03,C04,C12,C14,C19,,,,,,,,,,,,,,,,,
000803-00-0041,C06,C08,C19,C03,C01,C14,,,,,,,,,,,,,,,,,
000803-00-0043,C12,C11,C15,C01,C03,,,,,,,,,,,,,,,,,,
000803-00-0046,C04,C21,C10,C02,,,,,,,,,,,,,,,,,,,
000803-00-0049,C14,C22,C19,C21,,,,,,,,,,,,,,,,,,,
000803-00-0051,C15,C01,C14,C19,C03,C21,C08,C02,C22,,,,,,,,,,,,,,
000803-00-0053,C14,C21,C03,C02,C01,C20,C19,C15,,,,,,,,,,,,,,,
000803-00-0055,C11,C19,C12,C13,C17,C15,C23,C05,C08,C14,C21,C04,C22,C20,C18,C16,C07,C06,C09,C10,C01,C03,C02
000803-00-0056,C16,C18,C21,C11,C09,C06,C04,C07,C05,C08,C23,C22,C17,C13,C10,C03,C02,C01,C20,C19,C12,C14,C15
000803-00-0059,C12,C01,C20,,,,,,,,,,,,,,,,,,,,
000803-00-0061,C21,C01,C03,C12,C04,C08,,,,,,,,,,,,,,,,,
000803-00-0062,C22,C14,C03,C07,,,,,,,,,,,,,,,,,,,
000803-00-0065,C21,C12,C20,C03,C19,C05,C10,C13,C14,C15,C11,,,,,,,,,,,,
000803-00-0066,C19,C01,C15,C04,C06,C22,C03,C14,C10,,,,,,,,,,,,,,
000803-00-0067,C03,C19,C20,,,,,,,,,,,,,,,,,,,,
000803-00-0070,C04,C14,C03,C06,C19,,,,,,,,,,,,,,,,,,
000803-00-0071,C12,,,,,,,,,,,,,,,,,,,,,,
000803-00-0072,C02,C03,C08,C14,C22,C21,C09,C15,C12,,,,,,,,,,,,,,
000803-00-0074,C14,C18,C08,,,,,,,,,,,,,,,,,,,,
000803-00-0076,C19,C03,C22,C06,,,,,,,,,,,,,,,,,,,
000803-00-0079,C19,C01,C15,C03,C23,C05,,,,,,,,,,,,,,,,,
000803-00-0080,C06,C19,C21,,,,,,,,,,,,,,,,,,,,
000803-00-0082,C14,C08,C10,C19,C20,C03,C21,,,,,,,,,,,,,,,,
000803-00-0084,C14,C06,C22,,,,,,,,,,,,,,,,,,,,
000803-00-0087,C04,C01,C03,C14,C15,,,,,,,,,,,,,,,,,,
000803-00-0088,C10,C14,C15,C19,C03,,,,,,,,,,,,,,,,,,
000803-00-0090,C10,C19,C03,C04,,,,,,,,,,,,,,,,,,,
000803-00-0092,C14,C06,C22,,,,,,,,,,,,,,,,,,,,
000803-00-0094,C12,C10,C15,C19,C20,C01,C03,,,,,,,,,,,,,,,,
000803-00-0097,C14,C03,C08,C23,C06,C11,C07,,,,,,,,,,,,,,,,
000803-00-0098,C11,C05,C09,,,,,,,,,,,,,,,,,,,,
000803-00-0100,C03,C19,C06,C14,C21,,,,,,,,,,,,,,,,,,
000803-00-0101,C14,C06,C22,C19,C21,,,,,,,,,,,,,,,,,,
000803-00-0104,C21,C02,C10,C04,C08,C03,C19,C22,C12,C01,C20,C15,,,,,,,,,,,
000803-00-0105,C14,C06,C22,C03,,,,,,,,,,,,,,,,,,,
000803-00-0107,C03,C07,C04,,,,,,,,,,,,,,,,,,,,
000803-00-0109,C14,C22,,,,,,,,,,,,,,,,,,,,,
000803-00-0112,C19,C01,C15,C04,C06,C22,C03,C14,C10,,,,,,,,,,,,,,
000803-00-0114,C03,C15,C12,C19,C01,C10,C20,C06,,,,,,,,,,,,,,,
000803-00-0115,C14,C22,C06,C08,,,,,,,,,,,,,,,,,,,
000803-00-0118,C03,C15,C12,C19,C01,C10,C20,C06,C17,C14,,,,,,,,,,,,,
000803-00-0119,C06,C14,C22,,,,,,,,,,,,,,,,,,,,
000803-00-0120,C19,C01,C22,C14,C03,C06,,,,,,,,,,,,,,,,,
000803-00-0003,,,,,,,,,,,,,,,,,,,,,,,
000803-00-0004,,,,,,,,,,,,,,,,,,,,,,,
000803-00-0005,C03,,,,,,,,,,,,,,,,,,,,,,
000803-00-0006,C03,C05,C19,C14,C12,C08,C06,C10,C18,C21,C20,C23,C07,C09,C15,C04,C01,C11,C13,C16,C17,C02,
000803-00-0007,C10,C03,C12,C14,C15,C19,C20,C01,C02,,,,,,,,,,,,,,
000403-00-0002,C01,C19,,,,,,,,,,,,,,,,,,,,,
000403-00-0004,C20,C15,C03,C21,,,,,,,,,,,,,,,,,,,
000403-00-0006,C10,,,,,,,,,,,,,,,,,,,,,,
000403-00-0007,C06,C03,C01,C14,C10,C19,C12,C15,,,,,,,,,,,,,,,
000403-00-0010,C19,C20,C01,C03,C12,C15,C10,C06,,,,,,,,,,,,,,,
000403-00-0011,C12,,,,,,,,,,,,,,,,,,,,,,
000403-00-0013,C19,C20,C10,C15,C01,C03,C06,,,,,,,,,,,,,,,,
000403-00-0016,C01,C06,C08,C02,C22,C14,C04,,,,,,,,,,,,,,,,
000403-00-0018,C19,C12,C01,C03,C15,,,,,,,,,,,,,,,,,,
000403-00-0019,C18,C10,C15,C12,C03,C01,C20,C19,C21,C06,,,,,,,,,,,,,
000403-00-0021,C15,C19,C03,C01,C10,C12,C20,C14,C06,C21,,,,,,,,,,,,,
000403-00-0023,C19,C20,C21,C15,,,,,,,,,,,,,,,,,,,
