ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice
000603-00-0007, C02,C03,C06,,,,,
000603-00-0010, C02,C03,C08,,,,,
000603-00-0020, C02,C06,C07,C08,C01,C03,C04,C05
000603-00-0023, C02,C03,,,,,,
000603-00-0033, C02,C03,C04,C05,C06,,,
000603-00-0042, C02,C03,,,,,,
000603-00-0046, C02,C03,C08,C04,C07,,,
000603-00-0056, C02,C03,C04,C06,,,,
000603-00-0063, C02,C01,C08,C03,C04,,,
000603-00-0082, C02,C07,,,,,,
000603-00-0088, C02,C03,C08,C07,C06,C05,,
000603-00-0118, C02,,,,,,,
000603-00-0124, C02,,,,,,,
000603-00-0129, C02,C08,,,,,,
000603-00-0137, C02,C06,C01,C07,C04,C03,C05,C08
000603-00-0168, C02,,,,,,,
000603-00-0192, C02,C08,C07,C03,C04,,,
000603-00-0204, C02,C06,C03,,,,,
000603-00-0211, C02,C03,,,,,,
000603-00-0217, C02,C03,,,,,,
000603-00-0252, C02,C04,C07,C06,C01,,,
000603-00-0299, C02,,,,,,,
000603-00-0312, C02,C05,,,,,,
000603-00-0313, C02,,,,,,,
000603-00-0352, C02,C03,C04,C05,C06,C07,,
000603-00-0354, C02,C03,,,,,,
000603-00-0382, C02,C08,C07,,,,,
000603-00-0414, C02,C03,C01,C08,C07,C05,C06,
000603-00-0438, C02,C05,,,,,,
000603-00-0480, C02,C01,C08,C06,C07,C03,,
000603-00-0536, C02,C03,C04,C07,C08,C06,C05,C01
000603-00-0541, C02,C03,C04,C07,C08,,,
000603-00-0547, C02,C03,C06,C04,C01,C07,,
000603-00-0597, C02,,,,,,,
000603-00-0646, C02,C01,C03,,,,,
000603-00-0653, C02,C03,C04,C06,,,,
000603-00-0658, C02,C07,,,,,,
000603-00-0714, C02,,,,,,,
000603-00-0715, C02,C07,C04,C06,C01,,,
000603-00-0740, C02,C03,,,,,,
000603-00-0767, C02,C06,C03,,,,,
000603-00-0769, C02,,,,,,,
000603-00-0778, C02,,,,,,,
000603-00-0828, C02,C03,C04,C06,,,,
000603-00-0839, C02,C06,C04,,,,,
000603-00-0863, C02,C03,C06,,,,,
000603-00-0865, C02,C06,C03,C01,C08,C07,C05,C04
000603-00-0874, C02,C03,C04,,,,,
000603-00-0875, C02,C03,C06,,,,,
000603-00-0883, C02,C03,C01,,,,,
000603-00-0923, C02,C03,C01,,,,,
000603-00-0926, C02,C01,C03,C07,C08,,,
000603-00-0930, C02,,,,,,,
000603-00-1057, C02,C03,C04,C05,C06,C07,C08,C01
000603-00-1106, C02,,,,,,,
000603-00-1110, C02,C03,C04,,,,,
000603-00-1126, C02,C01=C03=C04=C05=C06=C07=C08,,,,,,
000603-00-1134, C02,,,,,,,
000603-00-1158, C02,C03,C04,C05,C08,C07,,
000603-00-1160, C02,C03,C08,,,,,
000603-00-1165, C02,C03,C04,C07,C08,C01,C05,C06
000603-00-1168, C02,C03,,,,,,
000603-00-1181, C02,C08,C03,C01,C04,C07,C06,C05
000603-00-1186, C02,C08,C05,,,,,
000603-00-1316, C02,C06,C04,,,,,
000603-00-1336, C02,C03,C04,C08,,,,
000603-00-1414, C02,C03,C05,,,,,
000603-00-1417, C02,,,,,,,
000603-00-1423, C02,C01,C03,C08,,,,
000603-00-1433, C02,,,,,,,
000603-00-1436, C02,C03,C08,,,,,
000603-00-1445, C02,,,,,,,
000603-00-1456, C02,C03,,,,,,
000603-00-1462, C02,C03,C01,,,,,
000603-00-1473, C02,C03,C06,,,,,
000603-00-1488, C02,C03,,,,,,
000603-00-1491, C02,C06,,,,,,
000603-00-1506, C02,C01,C07,C04,C03,,,
000603-00-1509, C02,C04,C05,,,,,
000603-00-1533, C02,C01,C03,C04,C08,C07,C05,C06
000603-00-1545, C02,C04,C03,C07,C08,,,
000603-00-1546, C02,,,,,,,
000603-00-1561, C02,C04,C07,C08,C01,C03,,
000603-00-1568, C02,C05,,,,,,
000603-00-1622, C02,,,,,,,
000603-00-1637, C02,C03,C08,C07,C04,,,
000603-00-1655, C02,C03,C01,C06,,,,
000603-00-1664, C02,C06,C05,C01,,,,
000603-00-1701, C02,C03,C08,,,,,
000603-00-1714, C02,C03,C04,,,,,
000603-00-1723, C02,C06,C01,,,,,
000603-00-1737, C02,C03,C04,C06,C05,,,
000603-00-1756, C02,C03,C04,C07,C08,C05,C06,C01
000603-00-1760, C02,C08,C01,C04,C03,C06,C05,C07
000603-00-1858, C02,C03,,,,,,
000603-00-1860, C02,C06,C01,C05,,,,
000603-00-1863, C02,C03,,,,,,
000603-00-1870, C02,,,,,,,
000603-00-1877, C02,,,,,,,
000603-00-1880, C02,C08,C06,,,,,
000603-00-1892, C02,C06,C03,C05,C04,,,
000603-00-1925, C02,C01,C07,C05,C06,,,
000603-00-1940, C02,C06,C03,,,,,
000603-00-1944, C02,C01,C06,C05,C07,,,
000603-00-1967, C02,C06,C08,C05,,,,
000603-00-1969, C02,,,,,,,
000603-00-1971, C02,C08,C07,C06,C03,C04,C05,
000603-00-2107, C02,C03,,,,,,
000603-00-2116, C02,,,,,,,
000603-00-2159, C02,C03,C04,,,,,
000603-00-2182, C02,C01,C03,C08,C04,C06,C05,C07
000603-00-2203, C02,C03,C04,C07,C08,,,
000603-00-2204, C02,C03,C04,,,,,
000603-00-2218, C02,,,,,,,
000603-00-2262, C02,C03,,,,,,
000603-00-2264, C02,C03,,,,,,
000101-00-0083, C02,C03,C04,C05,C07,C08,C06,C01
000101-00-0095, C02,C03,,,,,,
000101-00-0100, C02,C03,,,,,,
000101-00-0104, C02,C08,C01,C03,C04,C05,C07,C06
000101-00-0105, C02,C06,C05,,,,,
000101-00-0122, C02,C03,,,,,,
000101-00-0163, C02,C01,C06,C07,C08,C04,C03,
000101-00-0173, C02,,,,,,,
000101-00-0194, C02,C06,C08,,,,,
000101-00-0205, C02,C03,,,,,,
000101-00-0242, C02,C03,,,,,,
000101-00-0248, C02,C03,,,,,,
000101-00-0276, C02,C04,,,,,,
000101-00-0279, C02,,,,,,,
000101-00-0287, C02,C03,,,,,,
000101-00-0290, C02,C07,C01,C05,C03,C06,C08,C04
000101-00-0294, C02,C04,,,,,,
000101-00-0341, C02,C07,C04,C06,C08,C01,C03,
000101-00-0361, C02,C03,C04,C08,C06,C01,C05,
000101-00-0415, C02,C03,,,,,,
000101-00-0546, C02,,,,,,,
000101-00-0549, C02,C03,C06,,,,,
000101-00-0572, C02,C03,C06,C05,,,,
000101-00-0576, C02,,,,,,,
000101-00-0614, C02,C03,,,,,,
000101-00-0662, C02,C03,C07,C08,,,,
000101-00-0669, C02,C08,C03,,,,,
000101-00-0673, C02,C03,,,,,,
000101-00-0674, C02,C03,C04,C08,,,,
000101-00-0681, C02,C03,,,,,,
000101-00-0714, C02,C03,C04,,,,,
000101-00-0728, C02,C03,,,,,,
000101-00-0733, C02,C03,C04,,,,,
000101-00-0746, C02,C03,,,,,,
000101-00-0748, C02,C06,,,,,,
000101-00-0753, C02,C03,C07,C08,,,,
000101-00-0759, C02,C03,,,,,,
000101-00-0806, C02,C03,,,,,,
000101-00-0807, C02,C03,,,,,,
000101-00-0813, C02,C08,C07,C03,C04,,,
000101-00-0849, C03=C08,C02,C06,C01,C04,C07,,
000101-00-0853, C02,C08,,,,,,
000101-00-0856, C02,,,,,,,
000101-00-0863, C02,C03,,,,,,
000101-00-0865, C02,C03,,,,,,
000101-00-0872, C02,,,,,,,
000101-00-0906, C02,,,,,,,
000101-00-0919, C02,C03,C01,C05,C07,C04,C08,
000101-00-0929, C02,,,,,,,
000101-00-0960, C02,C03,C07,C04,,,,
000101-00-0986, C02,C03,C07,,,,,
000101-00-1032, C02,C03,C04,C06,C07,C08,,
000101-00-1072, C02,C04,C07,C08,C06,C01,C05,
000101-00-1111, C02,C03,,,,,,
000101-00-1117, C02,,,,,,,
