ID,,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice
000502-00-0006, C01,C04,C03,C05,C09,C02,C08,,
000502-00-0011, C01,C02,,,,,,,
000502-00-0205, C01,C03,,,,,,,
000502-00-0232, C01,C04,,,,,,,
000502-00-0242, C01,C02,,,,,,,
000502-00-0262, C01,C03,C08,,,,,,
000502-00-0275, C01,C03,,,,,,,
000502-00-0287, C01,C02,C09,,,,,,
000502-00-0289, C01,C02,C09,,,,,,
000502-00-0310, C01,,,,,,,,
000502-00-0316, C01,C03,C06,C02,,,,,
000502-00-0318, C01,C02,C09,,,,,,
000502-00-0338, C01,C07,C08,,,,,,
000502-00-0351, C01,C04,C02,C08,,,,,
000502-00-0428, C01,C08,C07,C02,C05,C09,,,
000502-00-0455, C01,C04,C08,,,,,,
000502-00-0498, C01,C03,C02,C06,C08,C09,C04,C05,C07
000502-00-0540, C01,C04,C09,,,,,,
000502-00-0573, C01,C02,C03,C04,,,,,
000502-00-0595, C01,C02,,,,,,,
000502-00-0599, C01,C03,C02,C07,C06,,,,
000502-00-0605, C01,,,,,,,,
000502-00-0660, C01,C02,C03,C04,C05,C08,,,
000502-00-0717, C01,C09,C03,C06,,,,,
000502-00-0728, C01,C08,C02,C04,C05,,,,
000502-00-0732, C01,C09,C08,C04,C05,C03,C02,,
000502-00-0754, C01,C02,C03,,,,,,
000502-00-0775, C01,C03,C08,C06,,,,,
000502-00-0797, C01,C02,C03,C04,,,,,
000502-00-0809, C01,C02,C03,C04,,,,,
000502-00-0837, C01,C08,C03,C02,C04,C05,,,
000502-00-0851, C01,C02,,,,,,,
000502-00-0910, C01,C03,C08,C02,C04,C05,,,
000502-00-0992, C01,,,,,,,,
000502-00-1029, C01,,,,,,,,
000502-00-1031, C01,C02,C03,C04,,,,,
000502-00-1049, C01,C04,,,,,,,
000502-00-0240, C01,C02,C04,C08,C09,C06,,,
000203-00-0007, C01,C07,C04,C03,C02,,,,
000203-00-0015, C01,C06,,,,,,,
000202-00-0025, C01,C05,,,,,,,
000202-00-0064, C01,C02,C04,C05,C08,,,,
000601-00-0008, C01,C02,,,,,,,
000601-00-0087, C01,C08,C02,,,,,,
000601-00-0098, C01,C08,,,,,,,
000601-00-0111, C01,C03,C08,C05,C09,C04,C02,,
000601-00-0125, C01,,,,,,,,
000601-00-0133, C01,C05,C09,C03,C02,C08,C04,,
000601-00-0136, C01,C02,C03,,,,,,
000601-00-0164, C01,,,,,,,,
000601-00-0172, C01,C09,C08,C04,C05,,,,
000601-00-0183, C01,C05,,,,,,,
000601-00-0185, C01,C05,,,,,,,
000601-00-0192, C01,C05,C03,C04,C08,C02,,,
000601-00-0196, C01,C05,,,,,,,
000601-00-0218, C01,C04,C05,C02,C08,,,,
000601-00-0229, C01,C05,C03,C04,C08,,,,
000601-00-0232, C01,C07,C06,,,,,,
000601-00-0243, C01,C05,C03,C02,C04,C08,,,
000601-00-0251, C01,,,,,,,,
000601-00-0253, C01,C02,C04,C05,,,,,
000601-00-0260, C01,C08,C07,,,,,,
000601-00-0262, C01,C02,,,,,,,
000601-00-0265, C01,C06,C04,C02,C03,C07,C08,C09,
000601-00-0267, C01,C02,,,,,,,
000601-00-0268, C01,C02,,,,,,,
000601-00-0273, C01,,,,,,,,
000601-00-0277, C01,C02,,,,,,,
000601-00-0278, C01,C02,,,,,,,
000601-00-0281, C01,C02,C05,,,,,,
000601-00-0297, C01,C02,,,,,,,
000601-00-0298, C01,,,,,,,,
000601-00-0334, C01,C07,C04,C03,,,,,
000601-00-0340, C01,C05,,,,,,,
000601-00-0343, C01,C05,,,,,,,
000601-00-0344, C01,C02,C03,,,,,,
000601-00-0350, C01,C02,C03,,,,,,
000601-00-0360, C01,C04,C02,,,,,,
000601-00-0370, C01,C04,C02,,,,,,
000601-00-0378, C01,C03,,,,,,,
000601-00-0392, C01,C05,C08,C09,C02,C04,C07,,
000601-00-0396, C01,C02,C03,C04,C06,,,,
000601-00-0410, C01,C02,C08,,,,,,
000601-00-0418, C01,C02,C03,C09,C04,C08,C05,C07,C06
000601-00-0429, C01,C06,C07,,,,,,
000601-00-0434, C01,,,,,,,,
000601-00-0441, C01,C06,C02,,,,,,
000601-00-0443, C01,C08,C05,C04,C02,,,,
000601-00-0455, C01,,,,,,,,
000601-00-0457, C01,C05,C02,,,,,,
000601-00-0461, C01,C04,C08,C05,C06,,,,
000601-00-0475, C01,C08,C05,C02,,,,,
000601-00-0495, C01,C05,C08,C06,,,,,
000601-00-0538, C01,C08,C06,C02,,,,,
000601-00-0553, C01,C05,C04,,,,,,
000601-00-0589, C01,C04,,,,,,,
000601-00-0590, C01,C02,C04,C08,,,,,
000601-00-0591, C01,C02,C04,C07,,,,,
000601-00-0603, C01,,,,,,,,
000601-00-0622, C01,C02,C03,,,,,,
000601-00-0625, C01,C02,C03,,,,,,
000601-00-0627, C01,C06,C09,C08,C07,C03,,,
000601-00-0653, C01,C02,,,,,,,
000601-00-0658, C01,C02,,,,,,,
000601-00-0661, C01,,,,,,,,
000601-00-0664, C01,C06,C07,C02,C04,,,,
000601-00-0666, C01,C02,C04,C03,C08,,,,
000601-00-0672, C01,C09,,,,,,,
000601-00-0686, C01,C02,C04,C08,C09,C03,C05,C07,C06
000601-00-0706, C01,C03,C06,,,,,,
000601-00-0707, C01,C03,,,,,,,
000601-00-0710, C01,C03,,,,,,,
000601-00-0730, C01,C02,C03,C04,C07,C08,,,
000601-00-0732, C01,C08,C07,C04,C03,C05,,,
000601-00-0736, C01,,,,,,,,
000601-00-0740, C01,C03,,,,,,,
000601-00-0759, C01,C02,,,,,,,
000601-00-0775, C01,C02,,,,,,,
000601-00-0778, C01,C05,,,,,,,
000601-00-0794, C01,C04,C03,C02,C08,,,,
000601-00-0798, C01,C09,,,,,,,
000601-00-0808, C01,C03,C07,C09,,,,,
000601-00-0821, C01,C02,,,,,,,
000601-00-0826, C01,C02,C05,C06,,,,,
000601-00-0829, C01,C02,C03,C04,C05,,,,
000601-00-0844, C01,C02,C03,,,,,,
000601-00-0860, C01,C02,C03,C09,C04,,,,
000601-00-0863, C01,C02,C05,C08,C09,C07,C06,,
000601-00-0872, C01,C02,,,,,,,
000601-00-0874, C01,C02,C06,C07,C03,,,,
000601-00-0877, C01,C02,C06,,,,,,
000601-00-0890, C01,C02,C03,C04,C05,C08,C06,C07,C09
000601-00-0917, C01,C04,C05,C08,C02,C03,C06,C07,C09
000601-00-0920, C01,C03,C02,,,,,,
000601-00-0923, C01,C04,,,,,,,
000601-00-0934, C01,C02,C04,C05,,,,,
000601-00-0136, C01,C02,C04,,,,,,
000601-00-0140, C01,C05,C07,C08,C09,C02,C03,C06,
000601-00-0141, C01,C04,C07,C08,C03,C09,C02,C05,C06
000601-00-0146, C01,C03,C02,,,,,,
000101-00-0002, C01,C02,,,,,,,
000101-00-0012, C01,C02,C07,C06,C04,C05,C08,,
000101-00-0017, C01,C07,C04,,,,,,
000101-00-0031, C01,,,,,,,,
000101-00-0050, C01,,,,,,,,
000101-00-0053, C01,C02,C04,C03,C08,C05,C06,C07,C09
000101-00-0055, C01,,,,,,,,
000101-00-0057, C01,,,,,,,,
000101-00-0078, C01,C02,,,,,,,
000101-00-0081, C01,C02,,,,,,,
000101-00-0086, C01,C02,,,,,,,
000101-00-0119, C01,,,,,,,,
000101-00-0130, C01,C02,C08,C07,,,,,
000101-00-0131, C01,C02,C08,C05,C09,C04,C03,C07,C06
000101-00-0149, C01,C02,C08,C05,,,,,
000101-00-0154, C01,C02,C04,C05,C08,,,,
000101-00-0159, C01,C02,,,,,,,
000101-00-0163, C01,C05,C04,C02,C08,C03,C07,C06,
000101-00-0181, C01,C02,C04,C03,,,,,
000101-00-0188, C01,,,,,,,,
000101-00-0189, C01,,,,,,,,
000101-00-0195, C01,C02,C08,C09,C03,C06,C04,C05,C07
000101-00-0198, C01,C04,,,,,,,
000101-00-0211, C01,C02,,,,,,,
000101-00-0228, C01,C05,C04,,,,,,
000101-00-0231, C01,C03,C02,,,,,,
000101-00-0233, C01,C02,C04,C05,C08,C09,,,
000101-00-0234, C01,C02,C04,C05,C07,C08,,,
000101-00-0266, C01,C03,C05,C09,C07,C02,C06,C08,
000101-00-0331, C01,C03,C05,C07,C08,C09,,,
000101-00-0339, C01,,,,,,,,
000101-00-0357, C01,,,,,,,,
000101-00-0367, C01,,,,,,,,
000101-00-0370, C01,C06,,,,,,,
000101-00-0388, C01,C05,C08,,,,,,
000101-00-0395, C01,C05,C03,C08,C07,C02,,,
000101-00-0397, C01,C02,C04,C03,C07,,,,
000101-00-0400, C01,C05,C08,,,,,,
000101-00-0401, C01,C02,,,,,,,
000101-00-0403, C01,C02,C06,,,,,,
000101-00-0405, C01,C08,C04,C02,C05,,,,
000101-00-0410, C01,C02,,,,,,,
000101-00-0418, C01,C02,,,,,,,
000101-00-0421, C01,C02,C04,C05,,,,,
000101-00-0436, C01,,,,,,,,
000101-00-0471, C01,C02,C04,C05,,,,,
000101-00-0476, C01,C02,,,,,,,
000101-00-0479, C01,C02,,,,,,,
000101-00-0487, C01,C08,C02,C04,C05,,,,
000101-00-0496, C01,C02,C04,,,,,,
000101-00-0509, C01,C03,,,,,,,
000101-00-0515, C01,C02,C04,C08,,,,,
000101-00-0524, C01,C02,,,,,,,
000101-00-0537, C01,C02,C06,,,,,,
000101-00-0541, C01,C02,,,,,,,
000101-00-0542, C01,,,,,,,,
000101-00-0553, C01,C02,,,,,,,
000101-00-0558, C01,C02,C03,C08,,,,,
000101-00-0562, C01,C08,C02,C04,C05,,,,
000101-00-0584, C01,,,,,,,,
000101-00-0585, C01,,,,,,,,
000101-00-0587, C01,C07,,,,,,,
000101-00-0590, C01,,,,,,,,
000101-00-0596, C01,C02,C03,C04,C05,C08,,,
000101-00-0597, C01,C02,C04,C05,C08,C09,,,
000101-00-0600, C01,C02,C05,C08,C04,C09,C07,C03,C06
000101-00-0619, C01,C02,,,,,,,
000101-00-0627, C01,C02,C03,C04,C09,C05,C06,C07,
000101-00-0629, C01,C02,C06,C07,C03,,,,
000101-00-0632, C01,C03,C02,,,,,,
000101-00-0660, C01,C02,C06,,,,,,
000101-00-0680, C01,C02,,,,,,,
000101-00-0688, C01,C06,,,,,,,
000101-00-0691, C01,,,,,,,,
000101-00-0697, C01,C02,,,,,,,
000101-00-0699, C01,C02,C03,,,,,,
000101-00-0702, C01,C02,C04,C05,C03,C06,C08,C09,C07
000101-00-0713, C01,C02,C03,C05,C06,C04,C08,C09,C07
000101-00-0714, C01,C02,,,,,,,
000101-00-0719, C01,C02,C06,C07,C05,C04,C03,,
000101-00-0746, C01,C02,C04,,,,,,
000101-00-0767, C01,,,,,,,,
000101-00-0771, C01,C08,C09,C05,C03,C06,,,
000101-00-0797, C01,C03,C02,,,,,,
000101-00-0815, C01,C02,,,,,,,
000101-00-0825, C01,C09,C02,C03,C04,C05,C06,C08,C07
000101-00-0827, C01,C09,C08,C07,C06,C05,C02,C03,C04
000101-00-0839, C01,,,,,,,,
000101-00-0844, C01,C02,C04,C05,C06,C07,C08,C09,
000101-00-0845, C01,C02,C04,C09,,,,,
000101-00-0848, C01,C02,C05,C04,C09,C07,,,
000101-00-0852, C01,C03,C06,,,,,,
000101-00-0856, C01,,,,,,,,
000101-00-0880, C01,C02,C03,C05,C09,,,,
000101-00-0888, C01,C02,C03,,,,,,
000101-00-0956, C01,,,,,,,,
000101-00-0973, C01,C06,C07,,,,,,
000101-00-0984, C01,C02,C05,C07,C04,C09,C08,C03,C06
000101-00-1004, C01,C07,C03,,,,,,
000101-00-1007, C01,,,,,,,,
000101-00-0068, C01,C02,C03,C04,C05,C08,C07,C06,WI01
000303-00-0050, C01,C09,C03,C08,C04,,,,
000303-00-0072, C01,C04,C05,C08,,,,,
000303-00-0092, C01,C02,C04,,,,,,
000303-00-0130, C01,C02,C03,C04,C05,C06,C07,C08,C09
000303-00-0140, C01,,,,,,,,
000303-00-0160, C01,C02,C03,C06,,,,,
000303-00-0167, C01,C02,C04,C09,,,,,
000303-00-0180, C01,C02,,,,,,,
000303-00-0188, C01,C03,C09,,,,,,
000303-00-0189, C01,C03,C06,,,,,,
000303-00-0192, C01,C02,C03,,,,,,
000303-00-0196, C01,C04,,,,,,,
000303-00-0221, C01,,,,,,,,
000303-00-0232, C01,C09,C02,,,,,,
000303-00-0253, C01,C04,C05,C08,C09,C02,,,
000303-00-0263, C01,C02,C04,C05,,,,,
000303-00-0312, C01,C03,C04,,,,,,
000303-00-0339, C01,,,,,,,,
000303-00-0340, C01,C02,C03,C05,,,,,
000303-00-0372, C01,C02,C04,C09,,,,,
000303-00-0415, C01,C05,C02,,,,,,
000303-00-0532, C01,C02,C03,C04,C05,C06,C07,C08,
000901-00-0163, C01,C02,C09,C07,C06,C03,,,
