ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice
000403-00-0002, C01,,,,,,,,
000403-00-0013, C01,C07,C09,C04,C06,,,,
000403-00-0058, C01,C08,C03,C06,C09,C07,,,
000403-00-0063, C01,C07,C06,C05,C03,C02,C09,C08,C04
000403-00-0072, C01,C02,C05,,,,,,
000403-00-0108, C01,C09,C07,,,,,,
000403-00-0125, C01,C03,C02,C08,C09,C04,,,
000403-00-0130, C01,C03,C02,C08,C09,C04,,,
000403-00-0139, C01,C03,C09,C02,C04,,,,
000403-00-0160, C01,C02,C04,C05,,,,,
000403-00-0166, C01,C07,C08,,,,,,
000403-00-0242, C01,C07,C03,C05,C06,,,,
000403-00-0281, C01,C03,C07,C06,C05,,,,
000403-00-0286, C01,C08,,,,,,,
000403-00-0358, C01,C08,C07,C06,C04,C05,,,
000403-00-0376, C01,C07,C03,C08,,,,,
000203-00-0025, C01,C03,C07,C02,,,,,
000203-00-0029, C01,C03,C04,C07,C09,,,,
000203-00-0037, C01,C03,C07,,,,,,
000203-00-0039, C01,C03,C08,C07,,,,,
000203-00-0047, C01,C03,C04,C07,C09,,,,
000203-00-0053, C01,C02,,,,,,,
000203-00-0062, C01,C08,C06,,,,,,
000203-00-0068, C01,C08,C07,C03,,,,,
000203-00-0070, C01,C07,C09,C04,C02,C08,,,
000203-00-0080, C01,,,,,,,,
000203-00-0082, C01,,,,,,,,
000203-00-0133, C01,C09,C03,C08,C07,C02,,,
000203-00-0160, C01,C08,,,,,,,
000203-00-0167, C01,C08,C02,C04,C09,C06,,,
000203-00-0169, C01,,,,,,,,
000203-00-0173, C01,C09,C06,C04,C08,C03,,,
000203-00-0176, C01,C09,C06,C04,C08,C03,,,
000203-00-0186, C01,,,,,,,,
000203-00-0188, C01,,,,,,,,
000203-00-0197, C01,C03,C04,C07,,,,,
000203-00-0207, C01,C07,C03,C09,,,,,
000203-00-0209, C01,C07,C03,C09,,,,,
000203-00-0213, C01,,,,,,,,
000203-00-0215, C01,,,,,,,,
000502-00-0007, C01,C04,C05,C07,C06,,,,
000502-00-0017, C01,C07,C06,,,,,,
000502-00-0053, C01,C03,,,,,,,
000502-00-0067, C01,C08,C09,,,,,,
000502-00-0071, C01,C07,,,,,,,
000502-00-0073, C01,,,,,,,,
000502-00-0076, C01,C08,C07,,,,,,
000502-00-0077, C01,C07,C08,C06,,,,,
000502-00-0083, C01,C07,C08,C02,,,,,
000502-00-0099, C01,C02,C08,C04,C09,C07,C03,,
000502-00-0102, C01,C09,C06,,,,,,
000502-00-0106, C01,,,,,,,,
000502-00-0119, C01,C07,C02,C03,C09,C06,,,
000502-00-0137, C01,C07,C09,,,,,,
000502-00-0143, C01,,,,,,,,
000502-00-0160, C01,C08,C04,C02,C07,C09,C03,,
000502-00-0166, C01,C07,C04,,,,,,
000502-00-0178, C01,C07,C04,,,,,,
000502-00-0190, C01,C03,C07,,,,,,
000502-00-0192, C01,C02,C09,C08,C04,C03,C05,C06,C07
000502-00-0194, C01,C09,C08,,,,,,
000502-00-0199, C01,C02,C09,C03,C04,C05,C06,C07,C08
000502-00-0207, C01,C06,C04,C07,C03,,,,
000502-00-0212, C01,C03,C05,C06,C07,,,,
000502-00-0213, C01,C08,C07,C02,C04,,,,
000502-00-0220, C01,C07,C09,,,,,,
000502-00-0221, C01,C07,C09,C02,C08,,,,
000502-00-0224, C01,C07,C08,C04,,,,,
000502-00-0232, C01,C08,C07,C04,C09,,,,
000502-00-0236, C01,C03,C07,C02,,,,,
000502-00-0237, C01,C03,C02,C08,C09,C07,C04,C05,
000502-00-0258, C01,C05,C06,C07,C09,C08,,,
000502-00-0284, C01,C08,C07,C02,C04,,,,
000502-00-0317, C01,,,,,,,,
000502-00-0342, C01,C09,C02,C07,,,,,
000502-00-0371, C01,C02,C04,C03,C07,C09,,,
000502-00-0374, C01,C03,C09,C02,,,,,
000502-00-0390, C01,C07,C02,C04,C05,C09,C06,C03,C08
000502-00-0394, C01,C06,,,,,,,
