ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,10th choice,11th choice
000803-00-0002, C01,C04,C11,,,,,,,,
000803-00-0004, C11,C04,C01,C06,C02,C08,C03,C05,C07,,
000803-00-0006, C04,C03,C11,C02,,,,,,,
000803-00-0008, C10,,,,,,,,,,
000803-00-0009, C10,,,,,,,,,,
000803-00-0012, C09,C10,C02,C03,C05,C04,,,,,
000803-00-0014, C09,C10,C07,,,,,,,,
000803-00-0016, C01,,,,,,,,,,
000803-00-0018, C04,C03,C02,C01,C11,C05,C06,C07,C08,C09,C10
000803-00-0021, C11,,,,,,,,,,
000803-00-0022, C03,C09,C04,C07,,,,,,,
000803-00-0025, C04,,,,,,,,,,
000803-00-0027, C01,C09,C07,C02,C08,C06,,,,,
000803-00-0029, C05,C03,C11,C10,C09,C07,C06,,,,
000803-00-0030, C07,C09,C06,C10,C03,,,,,,
000803-00-0031, C09,C10,C03,,,,,,,,
000803-00-0033, C09,C10,C03,,,,,,,,
000803-00-0036, C09,C10,C03,,,,,,,,
000803-00-0037, C09,C10,C05,,,,,,,,
000803-00-0040, C09,C10,,,,,,,,,
000803-00-0042, C02,C03,C07,C04,,,,,,,
000803-00-0044, C11,C09,,,,,,,,,
000803-00-0045, C10,C09,C03,C07,C08,C06,C05,C01,C02,C11,C04
000803-00-0047, C09,C11,,,,,,,,,
000803-00-0048, C04,C02,,,,,,,,,
000803-00-0050, C10,C09,C03,C05,C02,C01,,,,,
000803-00-0052, C07,C06,C03,C10,C09,,,,,,
000803-00-0054, C07,C10,C04,C11,C09,C03,C01,C08,C06,C05,C02
000803-00-0057, C08,C05,C04,C01,C11,C02,C10,C09,C07,C06,C03
000803-00-0058, C07,,,,,,,,,,
000803-00-0060, C09,C10,C03,,,,,,,,
000803-00-0063, C11,C10,C09,C07,C06,C03,C02,C04,C05,C01,C08
000803-00-0064, C09,C11,C01,C02,C07,C06,C05,C04,C03,C08,
000803-00-0068, C01,C11,C05,C07,C08,,,,,,
000803-00-0069, C09,C07,C10,C02,C06,,,,,,
000803-00-0073, C11,C05,C06,C10,C07,C09,,,,,
000803-00-0075, C02,C05,,,,,,,,,
000803-00-0077, C01,C04,C08,,,,,,,,
000803-00-0078, C07,C10,C09,C05,C03,,,,,,
000803-00-0081, C01,C02,C07,,,,,,,,
000803-00-0083, C10,C09,C07,C06,C03,C02,C01,C04,C05,C11,C08
000803-00-0085, C04,,,,,,,,,,
000803-00-0086, C09,C10,C03,,,,,,,,
000803-00-0089, C09,,,,,,,,,,
000803-00-0091, C09,,,,,,,,,,
000803-00-0093, C04,,,,,,,,,,
000803-00-0095, C03,,,,,,,,,,
000803-00-0096, C11,C01,,,,,,,,,
000803-00-0099, C10,,,,,,,,,,
000803-00-0102, C04,C03,C07,C05,,,,,,,
000803-00-0103, C10,C09,C03,C06,C07,,,,,,
000803-00-0106, C04,,,,,,,,,,
000803-00-0108, C02,C09,C10,,,,,,,,
000803-00-0110, C04,C03,C06,C02,C01,C05,C07,C09,C10,,
000803-00-0111, C03,C06,C07,C09,C10,,,,,,
000803-00-0113, C10,C09,C05,C02,,,,,,,
000803-00-0116, C04,,,,,,,,,,
000803-00-0117, C05,C02,C09,,,,,,,,
000803-00-0121, C07,C09,C03,C08,C11,C06,,,,,
000803-00-0001,,,,,,,,,,,
000803-00-0002,,,,,,,,,,,
000803-00-0008,,,,,,,,,,,
000803-00-0009,,,,,,,,,,,
000803-00-0010, WI01,,,,,,,,,,
000803-00-0011,,,,,,,,,,,
000803-00-0012,,,,,,,,,,,
000803-00-0013,,,,,,,,,,,
000403-00-0001, C10,C02,C05,,,,,,,,
000403-00-0003, C07,C10,,,,,,,,,
000403-00-0005, C06,C09,C03,,,,,,,,
000403-00-0008, C01,C02,C03,C05,C04,C08,C11,,,,
000403-00-0009, C06,C07,C09,C05,C01,C04,,,,,
000403-00-0012, C09,,,,,,,,,,
000403-00-0014, C01,,,,,,,,,,
000403-00-0015, C08,C03,C07,C01,C02,C09,,,,,
000403-00-0017, C07,C06,C10,C11,,,,,,,
000403-00-0020, C03,C06,C07,C09,C10,,,,,,
000403-00-0022, C09,C07,C10,,,,,,,,
000403-00-0024, C07,C08,C01,C06,,,,,,,
000403-00-0025, C06,C05,C07,C08,C09,C10,C11,C01,C02,C03,
000403-00-0027, C09,,,,,,,,,,
000403-00-0029, C09,C07,C06,C10,C03,C11,C02,C01,C05,C04,C08
000403-00-0030, C07,C08,C03,,,,,,,,
000403-00-0033, C05,C06,C09,C10,,,,,,,
000403-00-0036, C09,,,,,,,,,,
000403-00-0038, C03,C01,C05,C10,C09,,,,,,
000403-00-0040, C10,C09,C05,C02,,,,,,,
000403-00-0042, C01,C10,C02,C05,C07,,,,,,
000403-00-0044, C05,C09,C03,C06,C08,C10,,,,,
000403-00-0046, C11,,,,,,,,,,
000403-00-0048, C08,C07,,,,,,,,,
000403-00-0049, C09,C10,C08,C06,C03,,,,,,
000403-00-0051, C10,C05,C01,C09,C02,C08,C04,C07,C03,,
000403-00-0054, C04,C09,,,,,,,,,
000403-00-0055, C09,C06,C07,,,,,,,,
000403-00-0059, C11,C04,C01,C03,C05,C07,C09,,,,
000403-00-0061, C01,C08,C04,C06,C07,,,,,,
000403-00-0062, C01,C08,,,,,,,,,
000403-00-0064, C04,,,,,,,,,,
000403-00-0067, C01,C03,C11,C10,C07,C09,,,,,
000403-00-0068, C09,C10,C03,C05,,,,,,,
000403-00-0071, C10,C06,C08,C03,C07,C09,C04,C11,C01,C05,C02
000403-00-0072, C09,,,,,,,,,,
000403-00-0074, C03,C06,C07,C09,C11,C01,C02,C04,C08,C10,C05
000403-00-0076, C01,C05,C08,C11,C02,,,,,,
000403-00-0079, C09,,,,,,,,,,
000403-00-0081, C09,,,,,,,,,,
000403-00-0082, C10,C07,,,,,,,,,
000403-00-0084, C06,C09,C01,,,,,,,,
000403-00-0086, C07,C10,C06,C08,C11,C01,C02,C03,C04,C05,
