ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,10th choice,11th choice,12th choice
000703-00-0002, C01,C11,,,,,,,,,,
000703-00-0007, C01,C11,,,,,,,,,,
000703-00-0014, C01,C11,C07,C04,C05,,,,,,,
000703-00-0044, C01,C08,,,,,,,,,,
000703-00-0046, C01,C11,C07,C10,C12,C08,C02,,,,,
000703-00-0055, C01,C12,C04,C07,C11,C02,C05,C06,C08,C10,C09,
000703-00-0073, C01,C04,,,,,,,,,,
000703-00-0075, C01,C04,C11,,,,,,,,,
000703-00-0089, C01,,,,,,,,,,,
000703-00-0091, C01,C02,,,,,,,,,,
000703-00-0106, C01,C06,,,,,,,,,,
000703-00-0130, C01,C08,C10,C05,C02,C07,,,,,,
000703-00-0145, C01,,,,,,,,,,,
000703-00-0150, C01,C10,C12,C05,C02,,,,,,,
000703-00-0176, C01,C08,C06,C04,,,,,,,,
000703-00-0183, C01,C08,C06,C04,,,,,,,,
000703-00-0200, C01,C10,C07,,,,,,,,,
000703-00-0229, C01,,,,,,,,,,,
000703-00-0232, C01,C07,C11,C04,C05,C02,,,,,,
000703-00-0239, C01,C10,,,,,,,,,,
000703-00-0248, C01,C06,C08,C11,,,,,,,,
000703-00-0249, C01,C06,C08,C11,C12,,,,,,,
000703-00-0251, C01,C07,C02,C05,C08,,,,,,,
000703-00-0257, C01,C06,C08,C09,C04,C11,C07,C10,C02,C05,C12,C03
000703-00-0272, C01,C08,C06,,,,,,,,,
000703-00-0273, C01,C02,C07,,,,,,,,,
000703-00-0277, C01,,,,,,,,,,,
000703-00-0288, C01,,,,,,,,,,,
000703-00-0294, C01,C02,C05,C08,C11,C12,,,,,,
000601-00-0009, C01,C07,C05,,,,,,,,,
000601-00-0046, C01,C02,C07,,,,,,,,,
000601-00-0071, C01,C03,C06,C04,C11,C02,C08,,,,,
000601-00-0082, C01,C11,C10,C07,C04,C06,,,,,,
000601-00-0174, C01,C07,C02,C04,C08,C12,,,,,,
000601-00-0197, C01,C06,C07,C11,C04,C08,,,,,,
000601-00-0205, C01,C04,C05,C07,C11,C06,C03,C02,,,,
000601-00-0206, C01,C11,C08,C04,C07,,,,,,,
000601-00-0221, C01,C03,C08,C07,C04,,,,,,,
000601-00-0234, C01,C11,C04,C07,C05,,,,,,,
000601-00-0244, C01,C12,C08,C03,C04,,,,,,,
000601-00-0247, C01,C03,C12,C08,C04,,,,,,,
000601-00-0259, C01,,,,,,,,,,,
000601-00-0270, C01,C03,C07,C11,,,,,,,,
000601-00-0296, C01,C04,C07,C09,C10,,,,,,,
000601-00-0310, C01,C11,C07,C04,,,,,,,,
000601-00-0321, C01,C04,C02,C11,C07,,,,,,,
000601-00-0406, C01,C04,,,,,,,,,,
000601-00-0418, C01,C11,C07,C04,C10,C05,C02,C06,C03,C12,C09,C08
000601-00-0431, C01,C03,,,,,,,,,,
000601-00-0447, C01,C08,C06,C11,C12,C04,,,,,,
000601-00-0449, C01,C06,C09,,,,,,,,,
000601-00-0452, C01,,,,,,,,,,,
000601-00-0462, C01,C06,C04,C09,C02,,,,,,,
000601-00-0468, C01,C11,,,,,,,,,,
000601-00-0486, C01,C07,C09,C03,C08,C06,C12,C02,C10,,,
000601-00-0518, C01,C11,C09,C04,,,,,,,,
000601-00-0538, C01,C04,C05,C07,C11,C02,C06,C08,C03,C09,C10,
000601-00-0549, C01,C08,C04,C03,C11,,,,,,,
000601-00-0582, C01,C04,,,,,,,,,,
000601-00-0590, C01,C07,,,,,,,,,,
000601-00-0611, C01,C08,,,,,,,,,,
000601-00-0613, C01,C09,C06,C04,C03,,,,,,,
000601-00-0619, C01,C04,C07,C11,,,,,,,,
000601-00-0623, C01,C04,,,,,,,,,,
000601-00-0624, C01,C11,C02,,,,,,,,,
000601-00-0641, C01,C05,C10,,,,,,,,,
000601-00-0699, C01,C03,C11,C06,,,,,,,,
000601-00-0702, C01,C07,C11,C04,C08,C06,,,,,,
000601-00-0775, C01,C04,C07,C11,C05,C02,C12,,,,,
000601-00-0801, C01,C04,C03,C06,C09,C07,,,,,,
000601-00-0820, C01,C04,,,,,,,,,,
000601-00-0835, C01,C12,C04,C07,C06,C05,C02,,,,,
000601-00-0842, C01,C12,,,,,,,,,,
000601-00-0864, C01,C08,,,,,,,,,,
000601-00-0865, C01,C02,C07,,,,,,,,,
000601-00-0870, C01,C04,C05,C07,C11,,,,,,,
000601-00-0873, C01,C07,C04,C11,C06,,,,,,,
000601-00-0957, C01,C07,C04,C02,,,,,,,,
000601-00-1013, C01,,,,,,,,,,,
000601-00-1020, C01,C06,C04,C08,C11,C02,C03,,,,,
000601-00-1061, C01,C06,C11,C07,C04,,,,,,,
000601-00-1067, C01,C11,C07,,,,,,,,,
000601-00-1073, C01,C02,C04,C08,C12,,,,,,,
000601-00-1076, C01,C06,C03,C04,C09,,,,,,,
000601-00-1083, C01,C07,C08,C04,C06,C09,C11,C02,C12,C10,C03,C05
000601-00-1093, C01,C02,C08,C07,C11,C04,C03,C06,,,,
000601-00-1115, C01,C05,C06,C11,C03,C04,C12,C09,,,,
000601-00-1121, C01,C06,C08,,,,,,,,,
000601-00-1196, C01,C05,C06,C11,C03,C04,C12,C10,C09,,,
000601-00-1209, C01,,,,,,,,,,,
000601-00-1210, C01,C08,C06,C04,C09,C02,C03,C10,,,,
000601-00-1212, C01,C04,C06,C08,,,,,,,,
000601-00-1225, C01,C06,C08,C04,,,,,,,,
000601-00-1251, C01,C08,C12,C06,C04,C02,,,,,,
000601-00-1264, C01,C04,C11,,,,,,,,,
000601-00-1267, C01,C06,,,,,,,,,,
000601-00-1293, C01,C07,,,,,,,,,,
000601-00-1295, C01,C04,C08,C07,,,,,,,,
000601-00-1364, C01,C06,C07,C11,,,,,,,,
000601-00-1372, C01,C11,C03,C08,C09,C10,C04,C05,C07,C06,C12,C02
000601-00-1377, C01,C04,C09,C10,C11,C03,,,,,,
